timestamp_envio,timestamp_respuesta,exito,replica,tarjeta,latency_ms
1788884345.418,1788884345.532,1,C,7518,107.46
1788884345.418,1788884345.508,1,C,7518,82.63
1788884345.418,1788884345.594,1,C,7518,167.55
1788884345.418,1788884345.576,1,A,7518,148.40
1788884345.418,1788884345.527,1,A,7518,97.61
1788884345.418,1788884345.636,1,A,7518,205.48
1788884345.418,1788884345.549,1,A,7518,117.34
1788884345.418,1788884345.654,1,A,7518,218.62
1788884345.418,1788884345.561,1,C,7518,123.17
1788884345.418,1788884345.540,1,C,7518,101.19
1788884345.418,1788884345.657,1,A,7518,216.46
1788884345.418,1788884345.656,1,C,7518,214.62
1788884345.418,1788884345.567,1,C,7518,124.17
1788884345.418,1788884345.659,1,C,7518,215.66
1788884345.418,1788884345.619,1,C,7518,173.61
1788884345.418,1788884345.659,1,C,7518,211.64
1788884346.424,1788884346.491,1,C,6278,66.25
1788884346.424,1788884346.514,1,C,6278,88.94
1788884346.424,1788884346.716,1,A,6278,289.04
1788884346.424,1788884346.594,1,A,6278,166.22
1788884346.424,1788884346.534,1,A,6278,105.12
1788884346.424,1788884346.719,1,A,6278,290.23
1788884346.424,1788884346.687,1,B,6278,256.68
1788884346.424,1788884346.587,1,C,6278,155.62
1788884346.424,1788884346.741,1,B,6278,307.90
1788884346.424,1788884346.700,1,A,6278,266.01
1788884346.424,1788884346.717,1,A,6278,282.59
1788884346.424,1788884346.745,1,B,6278,309.63
1788884346.424,1788884346.610,1,A,6278,173.21
1788884346.424,1788884346.744,1,B,6278,306.13
1788884346.424,1788884346.747,1,A,6278,308.66
1788884346.424,1788884346.722,1,B,6278,282.65
1788884346.424,1788884346.709,1,B,6278,268.62
1788884346.424,1788884346.698,1,C,6278,256.86
1788884346.424,1788884346.748,1,A,6278,305.66
1788884346.424,1788884346.737,1,A,6278,293.61
1788884347.432,1788884347.487,1,A,6886,55.32
1788884347.432,1788884347.503,1,C,6886,70.03
1788884347.432,1788884347.719,1,C,6886,284.94
1788884347.432,1788884347.566,1,A,6886,130.98
1788884347.432,1788884347.519,1,A,6886,82.61
1788884347.432,1788884347.725,1,A,6886,287.44
1788884347.432,1788884347.626,1,A,6886,187.20
1788884347.432,1788884347.534,1,C,6886,93.95
1788884347.432,1788884347.710,1,A,6886,269.03
1788884347.432,1788884347.723,1,A,6886,280.94
1788884347.432,1788884347.728,1,B,6886,285.30
1788884347.432,1788884347.720,1,A,6886,276.40
1788884347.432,1788884347.598,1,A,6886,153.27
1788884347.432,1788884347.728,1,B,6886,282.35
1788884347.432,1788884347.726,1,A,6886,279.15
1788884347.432,1788884347.708,1,A,6886,259.94
1788884347.432,1788884347.639,1,B,6886,189.57
1788884347.432,1788884347.700,1,A,6886,249.94
1788884347.432,1788884347.718,1,A,6886,266.37
1788884347.432,1788884347.726,1,B,6886,273.12
1788884348.438,1788884348.491,1,B,3527,52.16
1788884348.438,1788884348.505,1,A,3527,65.61
1788884348.438,1788884348.711,1,B,3527,269.96
1788884348.438,1788884348.574,1,A,3527,132.51
1788884348.438,1788884348.514,1,B,3527,70.75
1788884348.438,1788884348.722,1,C,3527,277.75
1788884348.438,1788884348.680,1,C,3527,234.88
1788884348.438,1788884348.545,1,A,3527,98.60
1788884348.438,1788884348.715,1,C,3527,267.78
1788884348.438,1788884348.721,1,B,3527,272.88
1788884348.438,1788884348.719,1,B,3527,270.20
1788884348.438,1788884348.719,1,A,3527,268.73
1788884348.438,1788884348.656,1,B,3527,204.47
1788884348.438,1788884348.654,1,C,3527,201.86
1788884348.438,1788884348.714,1,A,3527,260.70
1788884348.438,1788884348.718,1,A,3527,263.59
1788884348.438,1788884348.691,1,A,3527,235.49
1788884348.438,1788884348.709,1,B,3527,252.39
1788884348.438,1788884348.701,1,C,3527,242.97
1788884348.438,1788884348.722,1,A,3527,263.60
1788884349.448,1788884349.499,1,C,1382,50.81
1788884349.448,1788884349.512,1,A,1382,62.49
1788884349.448,1788884349.752,1,A,1382,301.23
1788884349.448,1788884349.652,1,C,1382,199.56
1788884349.448,1788884349.537,1,B,1382,83.75
1788884349.448,1788884349.700,1,C,1382,245.62
1788884349.448,1788884349.743,1,C,1382,287.93
1788884349.448,1788884349.555,1,B,1382,98.99
1788884349.448,1788884349.752,1,B,1382,295.42
1788884349.448,1788884349.750,1,A,1382,291.83
1788884349.448,1788884349.715,1,A,1382,255.57
1788884349.448,1788884349.753,1,A,1382,292.36
1788884349.448,1788884349.672,1,A,1382,209.96
1788884349.448,1788884349.751,1,B,1382,288.74
1788884349.448,1788884349.673,1,B,1382,209.38
1788884349.448,1788884349.738,1,C,1382,273.22
1788884349.448,1788884349.750,1,A,1382,283.47
1788884349.448,1788884349.708,1,B,1382,240.86
1788884349.448,1788884349.736,1,C,1382,268.14
1788884349.448,1788884349.754,1,C,1382,284.44
1788884350.459,1788884350.522,1,B,4429,63.43
1788884350.459,1788884350.532,1,A,4429,72.47
1788884350.459,1788884350.777,1,C,4429,316.79
1788884350.459,1788884350.680,1,B,4429,218.46
1788884350.459,1788884350.554,1,B,4429,91.73
1788884350.459,1788884350.729,1,B,4429,265.32
1788884350.459,1788884350.769,1,A,4429,303.81
1788884350.459,1788884350.578,1,C,4429,112.03
1788884350.459,1788884350.778,1,A,4429,310.72
1788884350.459,1788884350.776,1,A,4429,307.92
1788884350.459,1788884350.743,1,C,4429,273.68
1788884350.459,1788884350.779,1,C,4429,308.42
